nct_id,trial,status,n,age_mean,age_sd,male,como_ct_mean,como_ct_sd,como_ct_total,como_ct_0,como_ct_1,como_ct_2plus,white,asian,black,native,other,ethnic_na
NCT00034840,BI502_327,rand,490,55,10,372,0.77,0.9,379,230,169,91,439,0,33,0,18,0
NCT00034840,BI502_327,sf,350,55,10,192,0.76,0.92,265,170,118,62,308,0,32,0,9,1
NCT00051558,LILLY_B3D_US_GHBZ,rand,429,57,14,84,2.75,1.32,1179,1,64,364,302,3,29,0,95,0
NCT00051558,LILLY_B3D_US_GHBZ,sf,283,57,14,64,0.02,0.42,7,282,0,1,214,0,19,0,50,0
NCT00125918,LILLY_H6D_MC_LVGY,rand,406,54,16,88,2.13,1.77,863,88,82,236,327,34,35,6,2,2
NCT00125918,LILLY_H6D_MC_LVGY,sf,62,NA,NA,15,NA,NA,0,0,0,0,48,7,5,2,0,0
NCT00153023,BI502_396,rand,885,61,9,567,2.78,1.09,2456,2,42,841,700,0,16,0,169,0
NCT00153023,BI502_396,sf,291,63,9,186,1.53,0.99,445,23,153,115,221,0,20,0,49,1
NCT00153088,BI502_413,rand,527,61,8,385,1.21,1.04,638,140,212,175,0,0,0,0,0,527
NCT00153088,BI502_413,sf,1047,61,9,687,1.14,1.03,1190,316,412,319,0,0,0,0,0,1047
NCT00168857,BI502_397,rand,860,60,9,535,3.08,1.35,2652,2,50,808,405,0,102,0,353,0
NCT00168857,BI502_397,sf,409,61,9,240,1.17,1.34,478,169,105,135,203,0,74,0,132,0
NCT00274599,BI502_392,rand,812,53,10,543,0.91,0.92,738,315,311,186,712,0,70,0,30,0
NCT00274599,BI502_392,sf,971,54,11,497,0.84,0.92,815,423,343,205,897,0,52,0,13,9
NCT00274612,BI502_391,rand,801,54,11,479,0.71,0.86,568,405,257,139,0,0,0,0,0,801
NCT00274612,BI502_391,sf,763,58,12,341,0.59,0.84,452,451,201,111,0,0,0,0,0,763
NCT00402233,BI248_622,rand,311,62,10,207,2.13,1.48,662,46,66,199,0,0,0,0,0,311
NCT00402233,BI248_622,sf,12,73,5,8,NA,NA,0,0,0,0,0,0,0,0,0,12
NCT00466167,BI248_525,rand,518,61,10,285,0.89,1.05,463,237,161,120,260,258,0,0,0,0
NCT00466167,BI248_525,sf,99,68,11,36,1.13,1.17,112,37,30,32,42,57,0,0,0,0
NCT00472199,BI248_629,rand,331,57,12,133,1.4,1.23,465,84,110,137,0,0,0,0,0,331
NCT00472199,BI248_629,sf,166,56,15,51,1.15,1.17,191,60,53,53,0,0,0,0,0,166
NCT00479401,BI248_524,rand,539,62,10,299,1.21,1.25,654,191,161,187,342,197,0,0,0,0
NCT00479401,BI248_524,sf,60,69,8,30,1.2,1.16,72,21,17,22,28,32,0,0,0,0
NCT00670319,LILLY_H3S_MC_GGGK,rand,8459,67,7,0,NA,NA,0,0,0,0,8086,161,31,0,181,0
NCT00670319,LILLY_H3S_MC_GGGK,sf,2443,67,7,0,NA,NA,0,0,0,0,2326,38,10,0,69,0
NCT00670501,LILLY_B3D_MC_GHAC,rand,2088,69,7,0,2.35,1.19,4905,3,565,1520,2031,0,0,0,57,0
