model,nct_id,term,estimate,std.error,statistic,p.value
as,NCT01164501,(Intercept),9.45E-01,9.45E-02,10.00090728,9.59E-23
as,NCT01164501,age10,-7.58E-02,1.48E-02,-5.116898162,3.57E-07
as,NCT01164501,male,-5.77E-02,2.72E-02,-2.119742937,0.034214779
as,NCT01370005,(Intercept),2.79E-01,7.87E-02,3.55059775,3.94E-04
as,NCT01370005,age10,4.10E-02,1.26E-02,3.246714964,0.001188595
as,NCT01370005,male,3.15E-02,2.39E-02,1.318017824,0.187662908
as,NCT00479401,(Intercept),-3.06E-01,7.86E-02,-3.888056019,1.12E-04
as,NCT00479401,age10,6.68E-02,1.23E-02,5.443885867,7.63E-08
as,NCT00479401,male,-1.87E-02,2.41E-02,-0.773649356,0.439444923
as,NCT00466167,(Intercept),-3.04E-01,9.01E-02,-3.377131321,7.79E-04
as,NCT00466167,age10,8.12E-02,1.38E-02,5.897076185,6.11E-09
as,NCT00466167,male,-8.36E-02,2.87E-02,-2.911805307,0.003723923
as,NCT00402233,(Intercept),-1.96E-01,6.45E-02,-3.030822295,0.002637887
as,NCT00402233,age10,3.78E-02,1.01E-02,3.751802247,2.08E-04
as,NCT00402233,male,-6.72E-03,2.20E-02,-0.305202292,0.760410507
as,NCT02183064,(Intercept),0.00E+00,0.00E+00,NA,NA
as,NCT02183064,age10,0.00E+00,0.00E+00,NA,NA
as,NCT02183064,male,0.00E+00,0.00E+00,NA,NA
as,NCT00472199,(Intercept),4.35E-01,9.50E-02,4.580217419,5.89E-06
as,NCT00472199,age10,-1.19E-02,1.60E-02,-0.741242502,0.45889863
as,NCT00472199,male,-9.12E-02,4.38E-02,-2.083271584,0.037740072
as,NCT02175355,(Intercept),1.27E-01,6.06E-02,2.093303895,0.036529128
as,NCT02175355,age10,1.86E-03,9.26E-03,0.201312148,0.840488229
as,NCT02175355,male,1.77E-02,2.05E-02,0.860866429,0.389481599
as,NCT02177396,(Intercept),5.44E-01,8.67E-02,6.280462365,5.43E-10
as,NCT02177396,age10,1.55E-02,1.53E-02,1.015293337,0.310261173
