model,nct_id,term,estimate,std.error,statistic,p.value
as,NCT01957163,(Intercept),1.229e-01,1.047e-01,1.1738030608181387,0.2408598978462015
as,NCT01957163,age10,1.203e-02,1.597e-02,0.7532097011208879,0.4515687623284673
as,NCT01957163,male,-8.172e-02,2.731e-02,-2.9926233174116676,0.002859968857235283
as,NCT02119286,(Intercept),5.740e-02,1.006e-01,0.570790212109673,0.5683182407607854
as,NCT02119286,age10,1.831e-02,1.593e-02,1.1492696781701373,0.2508227491807342
as,NCT02119286,male,-3.558e-02,2.754e-02,-1.2919091766459938,0.19679913255232304
as,NCT02236611,(Intercept),3.397e-02,9.047e-02,0.37548550969902134,0.7073584523233716
as,NCT02236611,age10,3.591e-02,1.372e-02,2.6179996764262903,0.008943689046833047
as,NCT02236611,male,-4.838e-02,2.434e-02,-1.987571215715002,0.047061039052565166
as,NCT00428090,(Intercept),-9.786e-02,1.005e-01,-0.9733360117590905,0.3307569518146599
as,NCT00428090,age10,2.675e-02,1.368e-02,1.9557279809151027,0.05093532814157462
as,NCT00428090,male,-1.492e-02,2.358e-02,-0.6328569701298795,0.5270548778512107
as,NCT01181895,(Intercept),2.884e-01,5.866e-02,4.916871035128523,1.1469916905943274e-6
as,NCT01181895,age10,2.337e-02,1.189e-02,1.9656983320076225,0.04981094616274502
as,NCT01181895,male,3.840e-02,4.132e-02,0.9293892603140277,0.3530746920938683
as,NCT01316900,(Intercept),1.519e-01,9.032e-02,1.68145531954253,0.09294888905185722
as,NCT01316900,age10,2.379e-02,1.420e-02,1.6759390005972845,0.09402482942114913
as,NCT01316900,male,-6.463e-02,2.779e-02,-2.3253382199645296,0.020228998544405758
as,NCT01159912,(Intercept),6.998e-01,4.233e-02,16.53183438734173,1.056594850250914e-54
as,NCT01159912,age10,-6.155e-03,8.915e-03,-0.6903835747706036,0.49010659948986013
as,NCT01159912,male,-1.716e-02,3.025e-02,-0.5673739486654062,0.5705822401382358
as,NCT01436110,(Intercept),3.628e-01,5.355e-02,6.775030268077838,2.783488185967664e-11
as,NCT01436110,age10,1.990e-02,1.190e-02,1.6727178259764723,0.0948625793704117
as,NCT01436110,male,7.406e-02,4.141e-02,1.7883476582285558,0.0741841488089934
as,NCT01691521,(Intercept),3.080e-01,5.780e-02,5.328593192422065,1.2883515798188283e-7
as,NCT01691521,age10,9.202e-04,1.068e-02,0.08615364518366093,0.9313658637415796
as,NCT01691521,male,-8.996e-02,3.221e-02,-2.79314640887133,0.005344639767430778
as,NCT00289198,(Intercept),3.076e-01,5.576e-02,5.516865793442618,5.256994113249118e-8
as,NCT00289198,age10,3.994e-02,1.248e-02,3.199901585444909,0.001451722895561467
as,NCT00289198,male,1.132e-02,4.189e-02,0.2702197500392904,0.787089698086737
as,NCT01772134,(Intercept),2.717e-01,1.137e-01,2.389887793024351,0.017068191708577644
as,NCT01772134,age10,5.367e-03,1.817e-02,0.2953661596850699,0.7677855589290394
as,NCT01772134,male,-3.268e-02,3.293e-02,-0.9925344530188931,0.32121637859807994
as,NCT00123903,(Intercept),4.462e-01,1.783e-01,2.503036212765292,0.012920279768535175
as,NCT00123903,age10,2.893e-02,2.931e-02,0.9871467776483036,0.3244779729661633
as,NCT00123903,male,-2.863e-02,6.117e-02,-0.46802771898848333,0.6401523837604295
as,NCT00273052,(Intercept),8.456e-02,7.020e-02,1.2045736487515328,0.22880567392177334
