model,nct_id,term,estimate,std.error,statistic,p.value
as,NCT01164501,(Intercept),8.11E-01,1.66E-01,4.881685158,1.49E-06
as,NCT01164501,age10,-2.09E-02,2.61E-02,-0.798469581,0.425042943
as,NCT01164501,male,-5.74E-02,4.62E-02,-1.241317925,0.215171398
as,NCT00479401,(Intercept),-3.86E-01,1.09E-01,-3.539779099,4.50E-04
as,NCT00479401,age10,7.57E-02,1.65E-02,4.586757311,6.10E-06
as,NCT00479401,male,4.93E-03,3.01E-02,0.163476631,0.870229174
as,NCT00466167,(Intercept),-5.23E-01,1.33E-01,-3.918354475,1.08E-04
as,NCT00466167,age10,1.14E-01,2.01E-02,5.669367242,3.06E-08
as,NCT00466167,male,-7.78E-02,3.99E-02,-1.950775683,0.051904935
as,NCT00402233,(Intercept),0.00E+00,0.00E+00,NA,NA
as,NCT00402233,age10,0.00E+00,0.00E+00,NA,NA
as,NCT00402233,male,0.00E+00,0.00E+00,NA,NA
as,NCT02183064,(Intercept),0.00E+00,0.00E+00,NA,NA
as,NCT02183064,age10,0.00E+00,0.00E+00,NA,NA
as,NCT02183064,male,0.00E+00,0.00E+00,NA,NA
as,NCT00472199,(Intercept),4.14E-01,1.18E-01,3.515317058,4.97E-04
as,NCT00472199,age10,-1.45E-02,1.94E-02,-0.745569325,0.456428023
as,NCT00472199,male,-8.02E-02,5.10E-02,-1.572268579,0.116791793
as,NCT02175355,(Intercept),1.11E-01,1.18E-01,0.941106167,0.347123831
as,NCT02175355,age10,1.93E-03,1.74E-02,0.110650007,0.91194014
as,NCT02175355,male,6.93E-02,3.33E-02,2.077213076,0.038313105
as,NCT02177396,(Intercept),0.00E+00,0.00E+00,NA,NA
as,NCT02177396,age10,0.00E+00,0.00E+00,NA,NA
as,NCT02177396,male,0.00E+00,0.00E+00,NA,NA
as,NCT00274612,(Intercept),3.96E-02,9.89E-02,0.400587532,0.68884519
as,NCT00274612,age10,8.51E-02,1.64E-02,5.185315841,2.82E-07
as,NCT00274612,male,-1.74E-01,3.62E-02,-4.80590813,1.88E-06
as,NCT00274599,(Intercept),3.43E-01,7.77E-02,4.410156461,1.14E-05
as,NCT00274599,age10,5.02E-02,1.36E-02,3.68883703,2.37E-04
