model,nct_id,term,estimate,std.error,statistic,p.value
as,NCT01957163,(Intercept),-5.533e-02,1.114e-01,-0.4967973948370432,0.6195398917276927
as,NCT01957163,age10,2.882e-02,1.685e-02,1.7109141680758309,0.08768766832818195
as,NCT01957163,male,-4.820e-02,2.727e-02,-1.7672786790469328,0.07776245904068146
as,NCT02119286,(Intercept),1.482e-01,1.096e-01,1.3520065960744894,0.17692889841439302
as,NCT02119286,age10,1.398e-03,1.721e-02,0.08126554809589939,0.9352603350173534
as,NCT02119286,male,-5.118e-02,2.904e-02,-1.762242684286717,0.07858373144338793
as,NCT02236611,(Intercept),1.154e-01,1.009e-01,1.144496377549534,0.2527279774236886
as,NCT02236611,age10,1.099e-02,1.504e-02,0.7304497758023584,0.46530905709066994
as,NCT02236611,male,-4.447e-02,2.581e-02,-1.7230502304454458,0.08522954267257654
as,NCT00428090,(Intercept),1.690e-02,1.909e-01,0.08853503270060416,0.9295214816736797
as,NCT00428090,age10,1.229e-02,2.528e-02,0.4862547593985736,0.6272074629636842
as,NCT00428090,male,-2.692e-02,3.842e-02,-0.7006058400282923,0.4841928374215164
as,NCT01181895,(Intercept),1.615e-02,3.304e-02,0.48866954912493993,0.6260144127195557
as,NCT01181895,age10,-6.458e-04,6.080e-03,-0.10622553538298116,0.9155901101123364
as,NCT01181895,male,-1.303e-02,1.836e-02,-0.7099187611136629,0.479204137882867
as,NCT01316900,(Intercept),-0.000e+00,0.000e+00,NA,NA
as,NCT01316900,age10,-0.000e+00,0.000e+00,NA,NA
as,NCT01316900,male,-0.000e+00,0.000e+00,NA,NA
as,NCT01159912,(Intercept),1.484e-02,2.246e-02,0.6605819941488891,0.5099582112370038
as,NCT01159912,age10,-3.191e-03,4.471e-03,-0.7135276571432028,0.4766986666735309
as,NCT01159912,male,1.941e-02,1.484e-02,1.3080666922658755,0.1929791801917883
as,NCT01436110,(Intercept),-0.000e+00,0.000e+00,NA,NA
as,NCT01436110,age10,0.000e+00,0.000e+00,NA,NA
as,NCT01436110,male,0.000e+00,0.000e+00,NA,NA
as,NCT01691521,(Intercept),-0.000e+00,0.000e+00,NA,NA
as,NCT01691521,age10,-0.000e+00,0.000e+00,NA,NA
as,NCT01691521,male,0.000e+00,0.000e+00,NA,NA
as,NCT00289198,(Intercept),3.293e-01,1.162e-01,2.8340175426827066,0.00523015663599263
as,NCT00289198,age10,-2.414e-03,2.373e-02,-0.10172445773695366,0.9191112417740548
as,NCT00289198,male,8.645e-02,8.136e-02,1.062531348796014,0.2897021700792232
as,NCT01772134,(Intercept),2.775e-01,1.227e-01,2.260799042534874,0.024144033973459798
as,NCT01772134,age10,-1.339e-02,1.953e-02,-0.6854227250473791,0.49335295953431335
as,NCT01772134,male,-1.205e-02,3.416e-02,-0.3526591482676557,0.7244729952322887
as,NCT00123903,(Intercept),5.051e-01,2.214e-01,2.2811067998753862,0.023747289410796093
as,NCT00123903,age10,1.368e-02,3.655e-02,0.3741967707740095,0.708710928899372
as,NCT00123903,male,-7.423e-02,7.530e-02,-0.9857771347398243,0.3256034452152493
as,NCT00273052,(Intercept),9.504e-02,8.314e-02,1.1431392808733225,0.25383793825445267
as,NCT00273052,age10,-1.296e-03,1.471e-02,-0.08808645283278263,0.9298632347621076
as,NCT00273052,male,-3.840e-02,2.952e-02,-1.3004608828378856,0.19438177330579445
as,NCT00115622,(Intercept),-0.000e+00,0.000e+00,NA,NA
as,NCT00115622,age10,0.000e+00,0.000e+00,NA,NA
as,NCT00115622,male,0.000e+00,0.000e+00,NA,NA
as,NCT00117325,(Intercept),9.673e-02,3.921e-02,2.46677143839618,0.014474739518142186
as,NCT00117325,age10,-1.441e-02,7.597e-03,-1.8968446735405622,0.05928953650728524
as,NCT00117325,male,9.875e-03,2.656e-02,0.3717890056051769,0.7104435499187547
as,NCT00118703,(Intercept),4.246e-03,2.105e-02,0.20166284186637148,0.8404413666187531
as,NCT00118703,age10,8.273e-04,4.291e-03,0.1928214772596278,0.8473479887261898
as,NCT00118703,male,-8.557e-03,1.526e-02,-0.5606714071655696,0.5758208154473214
as,NCT00609674,(Intercept),-0.000e+00,0.000e+00,NA,NA
as,NCT00609674,age10,-0.000e+00,0.000e+00,NA,NA
as,NCT00609674,male,0.000e+00,0.000e+00,NA,NA
as,NCT01916226,(Intercept),-0.000e+00,0.000e+00,NA,NA
as,NCT01916226,age10,-0.000e+00,0.000e+00,NA,NA
as,NCT01916226,male,0.000e+00,0.000e+00,NA,NA
as,NCT00118729,(Intercept),-0.000e+00,0.000e+00,NA,NA
as,NCT00118729,age10,0.000e+00,0.000e+00,NA,NA
as,NCT00118729,male,-0.000e+00,0.000e+00,NA,NA
cc,NCT01957163,(Intercept),7.254e-02,2.747e-02,2.6405469008604454,0.008523193186273115
cc,NCT01957163,como_ct,1.521e-02,1.156e-02,1.315550415801421,0.18889810516547043
cc,NCT02119286,(Intercept),6.377e-02,2.847e-02,2.24014504877632,0.025479361631163457
cc,NCT02119286,como_ct,3.002e-02,1.183e-02,2.538553960816226,0.011405242093294535
cc,NCT02236611,(Intercept),1.025e-01,2.549e-02,4.022367144774025,6.254112996744061e-5
cc,NCT02236611,como_ct,3.155e-02,1.272e-02,2.4798535720124995,0.013328942604854484
cc,NCT00428090,(Intercept),6.795e-02,4.120e-02,1.649343794747247,0.1003133693277752
cc,NCT00428090,como_ct,1.740e-02,2.153e-02,0.8080909117516832,0.419794419034471
cc,NCT01181895,(Intercept),-2.246e-02,1.732e-02,-1.2969542732037704,0.19724302859441784
cc,NCT01181895,como_ct,2.199e-02,1.073e-02,2.049939276213095,0.04264443493022542
cc,NCT01316900,(Intercept),-0.000e+00,0.000e+00,NA,NA
cc,NCT01316900,como_ct,0.000e+00,0.000e+00,NA,NA
cc,NCT01159912,(Intercept),1.457e-02,1.537e-02,0.9482528509958522,0.34461172492595626
cc,NCT01159912,como_ct,-5.464e-03,9.815e-03,-0.556751673971967,0.5785735084323769
cc,NCT01436110,(Intercept),-0.000e+00,0.000e+00,NA,NA
cc,NCT01436110,como_ct,0.000e+00,0.000e+00,NA,NA
cc,NCT01691521,(Intercept),-0.000e+00,0.000e+00,NA,NA
cc,NCT01691521,como_ct,0.000e+00,0.000e+00,NA,NA
cc,NCT00289198,(Intercept),4.061e-01,8.216e-02,4.9426834605863705,2.0260464904746176e-6
cc,NCT00289198,como_ct,-3.521e-02,4.796e-02,-0.7341510246625865,0.4639951538838242
cc,NCT01772134,(Intercept),1.361e-01,3.305e-02,4.119113651351395,4.3597502966549455e-5
cc,NCT01772134,como_ct,2.237e-02,1.326e-02,1.6875759509003703,0.09203308626665867
cc,NCT00123903,(Intercept),4.419e-01,6.891e-02,6.4123771384251915,1.2758221190057851e-9
cc,NCT00123903,como_ct,5.526e-02,3.110e-02,1.7770165257496124,0.07729275408968116
cc,NCT00273052,(Intercept),4.434e-02,2.501e-02,1.7728820303894546,0.07719949143361904
cc,NCT00273052,como_ct,1.848e-02,1.397e-02,1.3228895353539107,0.18681666453906842
cc,NCT00115622,(Intercept),-0.000e+00,0.000e+00,NA,NA
cc,NCT00115622,como_ct,0.000e+00,0.000e+00,NA,NA
cc,NCT00117325,(Intercept),4.526e-02,2.372e-02,1.9079258787330167,0.05782610225725822
cc,NCT00117325,como_ct,-9.660e-03,1.261e-02,-0.7658252009956117,0.44467868896142226
cc,NCT00118703,(Intercept),1.397e-02,1.291e-02,1.0821202113186386,0.28084788073114486
cc,NCT00118703,como_ct,-4.786e-03,7.000e-03,-0.6837148453468259,0.49515672905023655
cc,NCT00609674,(Intercept),-0.000e+00,0.000e+00,NA,NA
cc,NCT00609674,como_ct,-0.000e+00,0.000e+00,NA,NA
cc,NCT01916226,(Intercept),-0.000e+00,0.000e+00,NA,NA
cc,NCT01916226,como_ct,0.000e+00,0.000e+00,NA,NA
cc,NCT00118729,(Intercept),-0.000e+00,0.000e+00,NA,NA
cc,NCT00118729,como_ct,0.000e+00,0.000e+00,NA,NA
eth,NCT01957163,(Intercept),1.018e-01,1.354e-02,7.514162433856279,2.492643402049393e-13
eth,NCT01957163,black,9.824e-02,8.020e-02,1.2249932903439973,0.22112811552229214
eth,NCT01957163,asian,  NA,  NA,NA,NA
eth,NCT01957163,nativ,-1.018e-01,3.064e-01,-0.3320822007448221,0.7399599802876367
eth,NCT01957163,other,-1.018e-01,3.064e-01,-0.33208220074480854,0.7399599802876469
eth,NCT02119286,(Intercept),1.352e-01,1.505e-02,8.98925800372533,3.988709386757354e-18
eth,NCT02119286,black,-1.760e-02,8.200e-02,-0.21461625681081015,0.8301460667628596
eth,NCT02119286,asian,-9.358e-02,5.028e-02,-1.8613045807958897,0.06323445665330364
eth,NCT02119286,nativ,  NA,  NA,NA,NA
eth,NCT02119286,other,  NA,  NA,NA,NA
eth,NCT02236611,(Intercept),1.576e-01,1.226e-02,12.852669648476434,8.803591007859932e-35
eth,NCT02236611,black,  NA,  NA,NA,NA
eth,NCT02236611,asian,-1.576e-01,2.106e-01,-0.7483113579589484,0.4544716369221562
eth,NCT02236611,nativ,  NA,  NA,NA,NA
eth,NCT02236611,other,8.424e-01,3.644e-01,2.3119956187257786,0.021007208324179905
eth,NCT00428090,(Intercept),1.014e-01,2.063e-02,4.918655066289662,1.5771991680790905e-6
eth,NCT00428090,black,-1.014e-01,2.108e-01,-0.4811585665196873,0.63082298273882
eth,NCT00428090,asian,-5.145e-02,5.125e-02,-1.0038254442036891,0.3164294984545241
eth,NCT00428090,nativ,-1.014e-01,2.975e-01,-0.3410473663043878,0.7333532304590871
eth,NCT00428090,other,2.319e-01,1.229e-01,1.8869228066385613,0.060324756413986554
eth,NCT01181895,(Intercept),1.064e-02,9.609e-03,1.1071614388213236,0.2705548229276086
eth,NCT01181895,black,-1.064e-02,3.650e-02,-0.29147363994888603,0.7712187958859016
eth,NCT01181895,asian,  NA,  NA,NA,NA
eth,NCT01181895,nativ,-1.064e-02,2.519e-02,-0.42225480486858236,0.6736343435134975
eth,NCT01181895,other,  NA,  NA,NA,NA
eth,NCT01316900,(Intercept),-0.000e+00,0.000e+00,NA,NA
eth,NCT01316900,black,-0.000e+00,0.000e+00,NA,NA
