model,nct_id,rows,cols,values
as,NCT01957163,(Intercept),age10,-1.636e-03
as,NCT01957163,(Intercept),male,-3.695e-04
as,NCT01957163,age10,male,-1.618e-05
as,NCT02119286,(Intercept),age10,-1.565e-03
as,NCT02119286,(Intercept),male,-1.174e-04
as,NCT02119286,age10,male,-5.620e-05
as,NCT02236611,(Intercept),age10,-1.210e-03
as,NCT02236611,(Intercept),male,-3.822e-04
as,NCT02236611,age10,male,-2.109e-06
as,NCT00428090,(Intercept),age10,-1.361e-03
as,NCT00428090,(Intercept),male,-2.556e-04
as,NCT00428090,age10,male,7.007e-06
as,NCT01181895,(Intercept),age10,-6.206e-04
as,NCT01181895,(Intercept),male,-9.399e-04
as,NCT01181895,age10,male,5.078e-05
as,NCT01316900,(Intercept),age10,-1.241e-03
as,NCT01316900,(Intercept),male,-2.257e-04
as,NCT01316900,age10,male,-4.672e-05
as,NCT01159912,(Intercept),age10,-3.378e-04
as,NCT01159912,(Intercept),male,-5.693e-04
as,NCT01159912,age10,male,5.031e-05
as,NCT01436110,(Intercept),age10,-5.674e-04
as,NCT01436110,(Intercept),male,-1.008e-03
as,NCT01436110,age10,male,1.034e-04
as,NCT01691521,(Intercept),age10,-5.780e-04
as,NCT01691521,(Intercept),male,-4.771e-04
as,NCT01691521,age10,male,1.286e-05
as,NCT00289198,(Intercept),age10,-6.033e-04
as,NCT00289198,(Intercept),male,-7.051e-04
as,NCT00289198,age10,male,-1.757e-05
as,NCT01772134,(Intercept),age10,-2.010e-03
as,NCT01772134,(Intercept),male,1.752e-05
as,NCT01772134,age10,male,-1.149e-04
as,NCT00123903,(Intercept),age10,-5.044e-03
as,NCT00123903,(Intercept),male,-2.688e-03
as,NCT00123903,age10,male,8.981e-05
as,NCT00273052,(Intercept),age10,-8.494e-04
as,NCT00273052,(Intercept),male,-6.331e-04
as,NCT00273052,age10,male,5.284e-05
as,NCT00115622,(Intercept),age10,-7.985e-04
as,NCT00115622,(Intercept),male,-7.824e-04
as,NCT00115622,age10,male,3.082e-05
as,NCT00117325,(Intercept),age10,-4.934e-04
as,NCT00117325,(Intercept),male,-2.753e-04
as,NCT00117325,age10,male,-2.414e-05
as,NCT00118703,(Intercept),age10,-4.729e-04
as,NCT00118703,(Intercept),male,-3.365e-04
as,NCT00118703,age10,male,-1.847e-05
as,NCT00609674,(Intercept),age10,-8.306e-04
as,NCT00609674,(Intercept),male,-9.124e-04
as,NCT00609674,age10,male,5.101e-05
as,NCT01916226,(Intercept),age10,-6.532e-04
as,NCT01916226,(Intercept),male,-3.908e-04
as,NCT01916226,age10,male,1.181e-05
as,NCT00118729,(Intercept),age10,-3.743e-04
as,NCT00118729,(Intercept),male,-4.349e-04
as,NCT00118729,age10,male,4.988e-05
cc,NCT01957163,(Intercept),como_ct,-1.430e-04
cc,NCT02119286,(Intercept),como_ct,-1.483e-04
cc,NCT02236611,(Intercept),como_ct,-1.147e-04
cc,NCT00428090,(Intercept),como_ct,-8.895e-05
cc,NCT01181895,(Intercept),como_ct,-2.356e-04
cc,NCT01316900,(Intercept),como_ct,-8.213e-05
cc,NCT01159912,(Intercept),como_ct,-1.027e-04
cc,NCT01436110,(Intercept),como_ct,-2.364e-04
cc,NCT01691521,(Intercept),como_ct,-1.139e-04
cc,NCT00289198,(Intercept),como_ct,-2.804e-04
cc,NCT01772134,(Intercept),como_ct,-1.635e-04
cc,NCT00123903,(Intercept),como_ct,-6.576e-04
cc,NCT00273052,(Intercept),como_ct,-1.196e-04
cc,NCT00115622,(Intercept),como_ct,-2.688e-04
cc,NCT00117325,(Intercept),como_ct,-1.037e-04
cc,NCT00118703,(Intercept),como_ct,-1.096e-04
cc,NCT00609674,(Intercept),como_ct,-2.222e-04
cc,NCT01916226,(Intercept),como_ct,-1.420e-04
cc,NCT00118729,(Intercept),como_ct,-7.789e-05
eth,NCT01957163,(Intercept),black,-1.796e-04
eth,NCT01957163,(Intercept),nativ,-1.796e-04
eth,NCT01957163,black,nativ,1.796e-04
eth,NCT01957163,(Intercept),other,-1.796e-04
eth,NCT01957163,black,other,1.796e-04
eth,NCT01957163,nativ,other,1.796e-04
eth,NCT02119286,(Intercept),black,-2.046e-04
eth,NCT02119286,(Intercept),asian,-2.046e-04
eth,NCT02119286,black,asian,2.046e-04
eth,NCT02119286,(Intercept),other,-2.046e-04
eth,NCT02119286,black,other,2.046e-04
eth,NCT02119286,asian,other,2.046e-04
eth,NCT02236611,(Intercept),asian,-1.329e-04
eth,NCT02236611,(Intercept),other,-1.329e-04
eth,NCT02236611,asian,other,1.329e-04
eth,NCT00428090,(Intercept),black,-1.807e-04
eth,NCT00428090,(Intercept),asian,-1.807e-04
eth,NCT00428090,black,asian,1.807e-04
eth,NCT00428090,(Intercept),nativ,-1.807e-04
eth,NCT00428090,black,nativ,1.807e-04
eth,NCT00428090,asian,nativ,1.807e-04
eth,NCT00428090,(Intercept),other,-1.807e-04
eth,NCT00428090,black,other,1.807e-04
eth,NCT00428090,asian,other,1.807e-04
eth,NCT00428090,nativ,other,1.807e-04
eth,NCT01181895,(Intercept),black,-6.607e-04
eth,NCT01181895,(Intercept),nativ,-6.607e-04
eth,NCT01181895,black,nativ,6.607e-04
eth,NCT01181895,(Intercept),other,-6.607e-04
eth,NCT01181895,black,other,6.607e-04
eth,NCT01181895,nativ,other,6.607e-04
eth,NCT01316900,(Intercept),black,-1.964e-04
eth,NCT01316900,(Intercept),asian,-1.964e-04
eth,NCT01316900,black,asian,1.964e-04
eth,NCT01316900,(Intercept),nativ,-1.964e-04
eth,NCT01316900,black,nativ,1.964e-04
eth,NCT01316900,asian,nativ,1.964e-04
eth,NCT01316900,(Intercept),other,-1.964e-04
eth,NCT01316900,black,other,1.964e-04
eth,NCT01316900,asian,other,1.964e-04
eth,NCT01316900,nativ,other,1.964e-04
eth,NCT01159912,(Intercept),black,-2.768e-04
eth,NCT01159912,(Intercept),asian,-2.768e-04
eth,NCT01159912,black,asian,2.768e-04
eth,NCT01159912,(Intercept),nativ,-2.768e-04
eth,NCT01159912,black,nativ,2.768e-04
eth,NCT01159912,asian,nativ,2.768e-04
eth,NCT01159912,(Intercept),other,-2.768e-04
