NCT ID,Randomised,N,Age,Male,Comorbidity count,Comorbidity count total,Comorbidity count 0,Comorbidity count 1,Comorbidity count >= 2,White,Asian,Black,Native,Other
NCT00034840,Yes,490,55 (10),372 (75.9%),0.77 (0.9),379,230,169,91,439 (89.6%),0 (0%),33 (6.7%),0 (0%),18 (3.7%)
NCT00034840,No,350,55 (10),192 (54.9%),0.76 (0.92),265,170,118,62,308 (88%),0 (0%),32 (9.1%),0 (0%),9 (2.6%)
NCT00051558,Yes,429,57 (14),84 (19.6%),NA (NA),,,,,302 (70.4%),3 (0.7%),29 (6.8%),0 (0%),95 (22.1%)
NCT00051558,No,283,57 (14),64 (22.6%),NA (NA),,,,,214 (75.6%),0 (0%),19 (6.7%),0 (0%),50 (17.7%)
NCT00115622,Yes,303,37.5 (13.7),111 (36.6%),NA (NA),,,,,224 (73.9%),0 (0%),12 (4%),0 (0%),67 (22.1%)
NCT00115622,No,272,39.6 (15.4),88 (32.4%),NA (NA),,,,,190 (69.9%),9 (3.3%),14 (5.1%),0 (0%),59 (21.7%)
NCT00117325,Yes,352,45.8 (15.8),105 (29.8%),NA (NA),,,,,332 (94.3%),2 (0.6%),10 (2.8%),0 (0%),8 (2.3%)
NCT00117325,No,549,47.2 (15.7),179 (32.6%),NA (NA),,,,,520 (94.7%),4 (0.7%),21 (3.8%),0 (0%),4 (0.7%)
NCT00118703,Yes,348,43.9 (15.1),115 (33%),NA (NA),,,,,332 (95.4%),1 (0.3%),13 (3.7%),0 (0%),2 (0.6%)
NCT00118703,No,550,45.4 (16.1),217 (39.5%),NA (NA),,,,,485 (88.2%),10 (1.8%),51 (9.3%),0 (0%),4 (0.7%)
NCT00118729,Yes,383,33.4 (12.5),115 (30%),NA (NA),,,,,76 (19.8%),2 (0.5%),304 (79.4%),0 (0%),1 (0.3%)
NCT00118729,No,834,33.1 (13.3),277 (33.2%),NA (NA),,,,,203 (24.3%),1 (0.1%),626 (75.1%),0 (0%),4 (0.5%)
NCT00123903,Yes,107,57.3 (11.1),64 (59.8%),1.28 (1.17),137,26,47,34,76 (71%),15 (14%),16 (15%),0 (0%),0 (0%)
NCT00123903,No,159,58.6 (9.8),90 (56.6%),1.23 (1.41),195,62,43,54,115 (72.3%),17 (10.7%),27 (17%),0 (0%),0 (0%)
NCT00125918,Yes,406,54 (16),88 (21.7%),NA (NA),,,,,327 (80.5%),34 (8.4%),35 (8.6%),6 (1.5%),2 (0.5%)
NCT00125918,No,62,54 (16),15 (24.2%),NA (NA),,,,,48 (77.4%),7 (11.3%),5 (8.1%),2 (3.2%),0 (0%)
NCT00153023,Yes,885,61 (9),567 (64.1%),2.78 (1.09),2456,2,42,841,700 (79.1%),0 (0%),16 (1.8%),0 (0%),169 (19.1%)
NCT00153023,No,291,63 (9),186 (63.9%),1.53 (0.99),445,23,153,115,221 (75.9%),0 (0%),20 (6.9%),0 (0%),49 (16.8%)
NCT00153088,Yes,527,61 (8),385 (73.1%),1.21 (1.04),638,140,212,175,,,,,
NCT00153088,No,1047,61 (9),687 (65.6%),1.14 (1.03),1190,316,412,319,,,,,
NCT00168857,Yes,860,60 (9),535 (62.2%),3.08 (1.35),2652,2,50,808,405 (47.1%),0 (0%),102 (11.9%),0 (0%),353 (41%)
NCT00168857,No,409,61 (9),240 (58.7%),1.17 (1.34),478,169,105,135,203 (49.6%),0 (0%),74 (18.1%),0 (0%),132 (32.3%)
NCT00273052,Yes,567,52 (10.8),297 (52.4%),0.76 (0.99),432,268,209,90,472 (83.2%),35 (6.2%),45 (7.9%),0 (0%),15 (2.6%)
NCT00273052,No,87,54.1 (9.4),30 (34.5%),0.46 (1.22),40,64,17,6,70 (80.5%),3 (3.4%),12 (13.8%),0 (0%),2 (2.3%)
NCT00274599,Yes,812,53 (10),543 (66.9%),0.91 (0.92),738,315,311,186,712 (87.7%),0 (0%),70 (8.6%),0 (0%),30 (3.7%)
NCT00274599,No,971,54 (11),497 (51.2%),0.84 (0.92),815,423,343,205,897 (92.4%),0 (0%),52 (5.4%),0 (0%),13 (1.3%)
NCT00274612,Yes,801,54 (11),479 (59.8%),0.71 (0.86),568,405,257,139,,,,,
NCT00274612,No,763,58 (12),341 (44.7%),0.59 (0.84),452,451,201,111,,,,,
NCT00289198,Yes,302,37.1 (16.4),131 (43.4%),0.51 (0.87),153,203,62,37,275 (91.1%),15 (5%),7 (2.3%),0 (0%),5 (1.7%)
