model,hier,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail,2.5%,97.5%,term,lvl,variable_orig,lvl_c,term_c,trials
asce,smpl,b,0.2087628121475,0.2102895,0.06039529830102805,0.06005419560000002,0.1097232,0.3050772,1.004380115734645,680.6212162923331,1183.459529045658,0.08987097,0.327178575,1,0,b[1],pop,Intercept,27
asce,smpl,b,0.01873225001003,0.01873935,0.007486735322026815,0.00728238294,0.0067201625,0.030994969999999997,1.0018886392812991,989.8933467249328,1498.3831395539135,0.004253224,0.033724515000000004,2,0,b[2],pop,age10,27
asce,smpl,b,-0.0295756955691425,-0.0288851,0.022090214422329977,0.021557819429999996,-0.066567605,0.004873194499999997,1.000738874247611,1873.2841821689772,2684.6762896171094,-0.07543842999999999,0.011645235000000006,3,0,b[3],pop,asian,27
asce,smpl,b,0.0501170037765525,0.0506145,0.022481840368247175,0.02140014492,0.01175666,0.08714750999999998,1.0016834022472088,2043.592043667825,3068.3659257973227,0.0028895527499999997,0.09372419250000001,4,0,b[4],pop,black,27
asce,smpl,b,-0.03451313280725,-0.034634899999999996,0.013190736773512814,0.012697505309999994,-0.05583394,-0.013202020000000024,1.0022095362133003,1543.1575879807765,2001.8095460846087,-0.059813235,-0.007719343999999998,5,0,b[5],pop,como_ct,27
asce,smpl,b,-0.048653009371,-0.04825245,0.014871791844482531,0.01440768441,-0.07289947499999999,-0.024622770000000002,1.0002604212376929,2556.9087229107135,3035.117240733016,-0.07790441749999999,-0.01954346249999998,6,0,b[6],pop,male,27
asce,smpl,b,-0.017112175618225,-0.016080650000000002,0.04734752641943592,0.04304721687,-0.094682565,0.05866484999999997,1.0002008217845457,2812.635005985782,2709.4039743360318,-0.11153574999999999,0.07635453250000003,7,0,b[7],pop,nativ,27
asce,smpl,b,0.0059533450456575,0.006560369999999999,0.04309324573198998,0.041592311837999996,-0.06483636,0.07634016499999997,1.0011748551541761,2307.7958221193494,2805.790774419332,-0.080718345,0.08958570000000003,8,0,b[8],pop,other,27
asce,smpl,sd,0.29417851575,0.28996500000000003,0.040827020525088416,0.039223665600000006,0.2362696,0.36705194999999996,1.0000906456114291,1750.3188427813348,2553.067294869319,0.22666987500000002,0.38720577500000003,1,1,sd_1[1],nct_id,Intercept,27
asce,smpl,sd,0.035504176125,0.0350762,0.005351145628917508,0.005234764080000001,0.027735675,0.045022225,1.0012858975847934,2081.408875086981,2766.9777583988057,0.026612410000000003,0.047445605,2,1,sd_1[2],nct_id,age10,27
asce,smpl,sd,0.069131335175,0.06660089999999999,0.016322062593365175,0.014024135789999984,0.04771848,0.09882526499999998,1.0010493140611558,2655.492297553713,3051.624133758789,0.0448771225,0.1081211,3,1,sd_1[3],nct_id,asian,27
asce,smpl,sd,0.0762992922,0.0741724,0.0207449710960643,0.018975575009999995,0.046198924999999995,0.11334194999999998,0.9999925769757463,2957.053770181591,2528.4082628080832,0.0413148875,0.122817525,4,1,sd_1[4],nct_id,black,27
asce,smpl,sd,0.066429799475,0.0655226,0.009845731415237898,0.009209540549999997,0.052216265,0.08439866,1.0040163603275758,1854.9367572054682,2751.5981240928973,0.0499487675,0.0886496675,5,1,sd_1[5],nct_id,como_ct,27
asce,smpl,sd,0.06754016935,0.06589905,0.013047574570182447,0.012097497090000001,0.0486318,0.09110127,1.000167120267422,2113.8410842346193,2862.9868190115085,0.046094645000000004,0.098362535,6,1,sd_1[6],nct_id,male,27
asce,smpl,sd,0.105821668525,0.09694505,0.04627232665970118,0.03736337325,0.05002703,0.18855475,1.0014213168455972,2729.0478428410615,3064.3899044419036,0.0436070775,0.21747632500000005,7,1,sd_1[7],nct_id,nativ,27
